date,amount,category,description
20-07-2024,125.22,Income,Salary
18-06-2024,320.15,Expense,Groceries
15-05-2024,520.50,Income,Freelance
12-04-2024,100.75,Expense,Shopping
10-03-2024,200.30,Income,Rent
08-02-2024,150.10,Expense,Utilities
05-01-2024,750.00,Investment,Stocks
03-12-2023,175.25,Savings,Savings Account
01-11-2023,90.80,Expense,Entertainment
29-10-2023,210.55,Income,Salary
27-09-2023,450.75,Expense,Groceries
25-08-2023,610.40,Income,Freelance
23-07-2023,80.65,Expense,Shopping
21-06-2023,195.25,Income,Rent
19-05-2023,220.95,Expense,Utilities
17-04-2023,700.00,Investment,Stocks
15-03-2023,165.35,Savings,Savings Account
13-02-2023,85.20,Expense,Entertainment
11-01-2023,210.85,Income,Salary
09-12-2022,470.45,Expense,Groceries
07-11-2022,540.50,Income,Freelance
05-10-2022,95.35,Expense,Shopping
03-09-2022,220.75,Income,Rent
01-08-2022,160.10,Expense,Utilities
30-07-2022,800.00,Investment,Stocks
28-06-2022,155.25,Savings,Savings Account
26-05-2022,100.70,Expense,Entertainment
24-04-2022,235.15,Income,Salary
22-03-2022,490.75,Expense,Groceries
20-02-2022,570.40,Income,Freelance
18-01-2022,90.65,Expense,Shopping
16-12-2021,245.25,Income,Rent
14-11-2021,180.95,Expense,Utilities
12-10-2021,850.00,Investment,Stocks
10-09-2021,145.35,Savings,Savings Account
08-08-2021,95.20,Expense,Entertainment
06-07-2021,230.85,Income,Salary
04-06-2021,510.45,Expense,Groceries
02-05-2021,610.50,Income,Freelance
30-04-2021,105.35,Expense,Shopping
28-03-2021,240.75,Income,Rent
26-02-2021,170.10,Expense,Utilities
24-01-2021,900.00,Investment,Stocks
22-12-2020,135.25,Savings,Savings Account
20-11-2020,115.70,Expense,Entertainment
18-10-2020,255.15,Income,Salary
16-09-2020,530.75,Expense,Groceries
14-08-2020,680.40,Income,Freelance
12-07-2020,110.65,Expense,Shopping
10-06-2020,265.25,Income,Rent
08-05-2020,200.95,Expense,Utilities
06-04-2020,950.00,Investment,Stocks
04-03-2020,125.35,Savings,Savings Account
02-02-2020,105.20,Expense,Entertainment
30-01-2020,280.85,Income,Salary
28-12-2019,550.45,Expense,Groceries
26-11-2019,750.50,Income,Freelance
24-10-2019,115.35,Expense,Shopping
22-09-2019,290.75,Income,Rent
20-08-2019,180.10,Expense,Utilities
18-07-2019,1000.00,Investment,Stocks
16-06-2019,115.25,Savings,Savings Account
14-05-2019,120.70,Expense,Entertainment
12-04-2019,305.15,Income,Salary
10-03-2019,570.75,Expense,Groceries
08-02-2019,820.40,Income,Freelance
06-01-2019,120.65,Expense,Shopping
04-12-2018,315.25,Income,Rent
02-11-2018,210.95,Expense,Utilities
30-10-2018,1050.00,Investment,Stocks
28-09-2018,105.35,Savings,Savings Account
26-08-2018,125.20,Expense,Entertainment
24-07-2018,330.85,Income,Salary
22-06-2018,610.45,Expense,Groceries
20-05-2018,890.50,Income,Freelance
18-04-2018,135.35,Expense,Shopping
16-03-2018,340.75,Income,Rent
14-02-2018,220.10,Expense,Utilities
12-01-2018,1100.00,Investment,Stocks
10-12-2017,95.25,Savings,Savings Account
08-11-2017,130.70,Expense,Entertainment
06-10-2017,355.15,Income,Salary
04-09-2017,650.75,Expense,Groceries
02-08-2017,960.40,Income,Freelance
31-07-2017,140.65,Expense,Shopping
29-06-2017,365.25,Income,Rent
27-05-2017,230.95,Expense,Utilities
25-04-2017,1150.00,Investment,Stocks
23-03-2017,85.35,Savings,Savings Account
21-02-2017,135.20,Expense,Entertainment
19-01-2017,380.85,Income,Salary
17-12-2016,690.45,Expense,Groceries
15-11-2016,1030.50,Income,Freelance
13-10-2016,150.35,Expense,Shopping
11-09-2016,390.75,Income,Rent
09-08-2016,240.10,Expense,Utilities
07-07-2016,1200.00,Investment,Stocks
05-06-2016,75.25,Savings,Savings Account
03-05-2016,140.70,Expense,Entertainment
01-04-2016,405.15,Income,Salary